StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.2,Q3.1,Q4.1,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.3_6,Q4.3_7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q6.1,Q6.2,Q6.3,Q7.1_1,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Added - Q1,Added - Q2,Added - Q3,Added - Q4,Added - Q5,Added - Q6,Added - Q7,Added - Q8,Added - Q9,Q40.1,Q_BallotBoxStuffing,rid,pid,SUPPLIER_ID,SUPNAME,screener,who,outcome,casualty
2021-08-29 23:48:31,2021-08-29 23:57:41,IP Address,100,549,True,2021-08-29 23:57:42,R_1eWZI7ujIpkvYSf,anonymous,JA,0.89999997615814208984375,参加することに同意します,時々注意を払っている,"毎日,まったくない",やや悪い,どちらともいえない,どちらともいえない,どちらともいえない,やや良い,どちらともいえない,どちらともいえない,ほとんど信頼することができない,かなり信頼することができる,ほとんど信頼することができない,ほとんど信頼することができない,ほとんど信頼することができない,どの政党も支持していない,,日本維新の会,4,男,56,大学・大学院,神奈川県,０〜１９９万円,どちらともいえない,どちらかといえば、支持する,どちらかといえば、支持する,同意しない,どちらかといえば、評価すると思う,平時に　緊急事態を想定、シュミレーションして法律を整備すべき。自衛隊はきっちり仕事をしてくれるが、それらを統括する政府や国会が時間の無駄使いばかりだと思います。,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出た,みんな無事に避難出来ますように。,,612c5476-143d-7d9e-a4f5-c0b4787b75e0,25780448,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができました,複数の死傷者が出ました
2021-08-29 23:49:23,2021-08-29 23:57:58,IP Address,100,514,True,2021-08-29 23:57:59,R_1NsK7bMoRjjCSZk,anonymous,JA,0.89999997615814208984375,参加することに同意します,たまに注意を払っている,"毎日,まったくない",どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,やや信頼することができる,やや信頼することができる,やや信頼することができる,やや信頼することができる,やや信頼することができる,自由民主党,あまり熱心でない支持者,,4,女,30,大学・大学院,茨城県,２００〜３９９万円,どちらともいえない,どちらかといえば、支持する,どちらともいえない,どちらかといえば、同意しない,どちらかといえば、評価すると思う,何もない,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,何もない,,612c5546-ccda-2518-49e9-e7834140c188,227120755,968,TheoremReach,,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができました,死傷者は出ませんでした
2021-08-29 23:52:29,2021-08-29 23:58:22,IP Address,100,352,True,2021-08-29 23:58:22,R_3F5QDbN9gjZ2Yj7,anonymous,JA,0.89999997615814208984375,参加することに同意します,たまに注意を払っている,"毎日,まったくない",かなり悪い,やや悪い,どちらともいえない,かなり悪い,かなり悪い,やや悪い,かなり悪い,あまり信頼することができない,やや信頼することができる,ほとんど信頼することができない,あまり信頼することができない,ほとんど信頼することができない,どの政党も支持していない,,その他,4,女,34,高校・旧制中学校,福井県,４００〜５９９万円,どちらともいえない,どちらかといえば、支持しない,どちらかといえば、支持しない,どちらかといえば、同意しない,どちらかといえば、評価しないと思う,何もない,菅首相,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出た,何もない,,612c55d5-4431-1961-977f-503a5470c26c,17520607,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,複数の死傷者が出ました
2021-08-29 23:55:06,2021-08-29 23:58:38,IP Address,100,211,True,2021-08-29 23:58:38,R_1BXb8UZb5FlwXVy,anonymous,JA,1,参加することに同意します,時々注意を払っている,"毎日,まったくない",かなり悪い,どちらともいえない,どちらともいえない,やや悪い,かなり悪い,どちらともいえない,かなり悪い,ほとんど信頼することができない,やや信頼することができる,ほとんど信頼することができない,あまり信頼することができない,あまり信頼することができない,国民民主党,あまり熱心でない支持者,,4,女,36,高校・旧制中学校,北海道,４００〜５９９万円,どちらともいえない,どちらかといえば、支持する,どちらかといえば、支持する,どちらかといえば、同意する,どちらともいえない,何もない,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出なかった,何もない,,612c568d-c31c-25a0-a591-20be273f502f,18155218,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,死傷者は出ませんでした
2021-08-29 23:51:59,2021-08-29 23:58:40,IP Address,100,400,True,2021-08-29 23:58:40,R_1H0Kd35MPgsiSSW,anonymous,JA,1,参加することに同意します,いつも注意を払っている,"毎日,まったくない",やや悪い,かなり悪い,やや良い,かなり悪い,かなり悪い,やや良い,かなり悪い,ほとんど信頼することができない,かなり信頼することができる,あまり信頼することができない,ほとんど信頼することができない,あまり信頼することができない,自由民主党,あまり熱心でない支持者,,5,男,64,大学・大学院,埼玉県,１４００万円以上,評価しない,支持しない,支持しない,同意する,評価しないと思う,総理大臣が無能なので、何をやっても失敗すると思う。,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出なかった,国会でこのような議論をしてほしい。,,612c55a6-c960-df01-97c3-10c2554bce2a,17575922,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,死傷者は出ませんでした
2021-08-29 23:54:52,2021-08-29 23:58:56,IP Address,100,243,True,2021-08-29 23:58:56,R_USAP7L8kWoSR64F,anonymous,JA,0.89999997615814208984375,参加することに同意します,時々注意を払っている,"毎日,まったくない",かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,ほとんど信頼することができない,あまり信頼することができない,ほとんど信頼することができない,あまり信頼することができない,あまり信頼することができない,どの政党も支持していない,,その他,4,男,60,大学・大学院,東京都,４００〜５９９万円,評価しない,どちらかといえば、支持する,どちらかといえば、支持する,同意しない,評価すると思う,wertyuiop,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,edrftghjkl,,612c5670-c7ea-20b4-c237-ed29f67fc62f,5689393,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができました,死傷者は出ませんでした
2021-08-29 23:47:49,2021-08-29 23:59:54,IP Address,100,725,True,2021-08-29 23:59:54,R_RhljID9q8IbRWNz,anonymous,JA,0.89999997615814208984375,参加することに同意します,たまに注意を払っている,"毎日,まったくない",やや悪い,やや悪い,やや悪い,やや悪い,かなり悪い,やや悪い,やや悪い,ほとんど信頼することができない,やや信頼することができる,あまり信頼することができない,あまり信頼することができない,ほとんど信頼することができない,どの政党も支持していない,,自由民主党,3,女,24,大学・大学院,京都府,８００〜９９９万円,どちらともいえない,どちらともいえない,どちらかといえば、支持する,どちらかといえば、同意する,どちらかといえば、評価すると思う,何もない,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出なかった,何もない,,612c54c2-c462-e5a8-484d-08e7baf81b4b,11097108,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,複数の死傷者が出ました
2021-08-29 23:55:22,2021-08-30 00:01:10,IP Address,100,348,True,2021-08-30 00:01:11,R_UstRGrJw2ccYltT,anonymous,JA,1,参加することに同意します,時々注意を払っている,"毎日,まったくない",やや悪い,やや悪い,やや悪い,かなり悪い,やや悪い,やや悪い,やや悪い,ほとんど信頼することができない,あまり信頼することができない,あまり信頼することができない,あまり信頼することができない,ほとんど信頼することができない,どの政党も支持していない,,日本共産党,5,女,29,短大・高専,福岡県,４００〜５９９万円,どちらともいえない,どちらかといえば、支持する,どちらともいえない,どちらかといえば、同意する,どちらかといえば、評価すると思う,何もない,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,何もない,,612c56ad-0caf-30d4-945b-868c3b2fa258,24572587,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができました,死傷者は出ませんでした
2021-08-29 23:54:35,2021-08-30 00:02:09,IP Address,100,453,True,2021-08-30 00:02:09,R_8H3kyeuxRmwG7vz,anonymous,JA,1,参加することに同意します,いつも注意を払っている,"毎日,まったくない",かなり悪い,やや悪い,やや悪い,やや悪い,かなり悪い,かなり悪い,かなり悪い,ほとんど信頼することができない,やや信頼することができる,あまり信頼することができない,あまり信頼することができない,やや信頼することができる,どの政党も支持していない,,立憲民主党,3,男,66,大学・大学院,兵庫県,２００〜３９９万円,評価しない,どちらかといえば、支持する,支持しない,同意しない,評価しないと思う,救出作戦が遅い,菅首相,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出なかった,ない,,612c5676-fb2a-2616-6e3a-e8a4ac2a75b7,3339470,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,死傷者は出ませんでした
2021-08-29 23:44:19,2021-08-30 00:02:16,IP Address,100,1076,True,2021-08-30 00:02:17,R_Z96qnGPaRGI2Htf,anonymous,JA,0.89999997615814208984375,参加することに同意します,たまに注意を払っている,"毎日,まったくない",かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,ほとんど信頼することができない,あまり信頼することができない,あまり信頼することができない,ほとんど信頼することができない,やや信頼することができる,どの政党も支持していない,,立憲民主党,4,男,64,大学・大学院,愛知県,２００〜３９９万円,どちらかといえば、評価する,支持する,どちらかといえば、支持する,どちらともいえない,評価すると思う,"１日も早くアフガニスタンにいる日本人を救出する必要があり、迅速に自衛隊を派遣したのは良かった。
ただ、タリバンの攻撃やテロに対して充分な対策が取られていたのかどうか？
そういう事に関しての発表や報道が無いのは、政府の説明不足ではないのか？",菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出なかった,架空の話に対しての考えを調査する意図がわからない。,,612c53e2-6a2c-b217-fb58-bddbfa05c2d6,15747050,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができました,死傷者は出ませんでした
2021-08-29 23:53:24,2021-08-30 00:02:48,IP Address,100,564,True,2021-08-30 00:02:49,R_w0fef4fwg16cndf,anonymous,JA,0.89999997615814208984375,参加することに同意します,時々注意を払っている,"毎日,まったくない",やや悪い,やや悪い,やや悪い,やや悪い,かなり悪い,どちらともいえない,かなり悪い,あまり信頼することができない,かなり信頼することができる,やや信頼することができる,やや信頼することができる,やや信頼することができる,自由民主党,あまり熱心でない支持者,,6,男,50,高校・旧制中学校,東京都,４００〜５９９万円,評価する,支持しない,どちらともいえない,どちらかといえば、同意する,どちらかといえば、評価しないと思う,現時点では自衛隊が動くべきではないと思う。,菅首相,作戦は失敗し、１台を除いて無事に空港まで護送することができなかった,出た,IS含めて今後の対応をもっと議論すべき。,,612c5610-a53a-3a64-27ca-3e8e899ab7bc,25501226,1303,"Monitas(Gain,Inc.)-Link",,菅首相,作戦は失敗し、１台を除いて無事に空港まで護送することができませんでした,複数の死傷者が出ました
2021-08-29 23:53:10,2021-08-30 00:03:34,IP Address,100,624,True,2021-08-30 00:03:35,R_ykY4lhDYncwUOlj,anonymous,JA,1,参加することに同意します,時々注意を払っている,"毎日,まったくない",どちらともいえない,どちらともいえない,やや良い,どちらともいえない,かなり悪い,やや悪い,どちらともいえない,やや信頼することができる,やや信頼することができる,ほとんど信頼することができない,あまり信頼することができない,あまり信頼することができない,公明党,あまり熱心でない支持者,,3,女,27,大学・大学院,東京都,８００〜９９９万円,どちらかといえば、評価しない,どちらかといえば、支持する,どちらともいえない,どちらかといえば、同意しない,どちらかといえば、評価すると思う,アメリカの指示のもと行動をするのではなく、命を第一に日本以外の国も含め、命を守る行動を取るべきだと思う。,防衛大臣,作戦は成功し、５台すべてを無事に空港まで護送することができた,出た,何もない,,612c561d-b16c-54a0-344a-6129ff95c156,25695023,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は成功し、５台すべてを無事に空港まで護送することができました,複数の死傷者が出ました
2021-08-29 23:45:39,2021-08-30 00:03:55,IP Address,100,1096,True,2021-08-30 00:03:56,R_uhbNAHM7ri49wkx,anonymous,JA,1,参加することに同意します,いつも注意を払っている,"毎日,まったくない",かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,かなり悪い,ほとんど信頼することができない,やや信頼することができる,ほとんど信頼することができない,あまり信頼することができない,やや信頼することができる,日本維新の会,あまり熱心でない支持者,,4,女,63,高校・旧制中学校,大阪府,６００〜７９９万円,どちらかといえば、評価する,支持する,支持する,どちらかといえば、同意しない,どちらかといえば、評価すると思う,大使館の方々が先に避難されたと報じられている　ならば日本国への退避したいと人への業務は誰が担うのか疑問に思う,菅首相,作戦は成功し、５台すべてを無事に空港まで護送することができた,出た,何もない,,612c5469-cff8-45c1-2ce3-4117f8e2ea3e,25507892,1303,"Monitas(Gain,Inc.)-Link",,自衛隊の統合任務部隊指揮官,作戦は成功し、５台すべてを無事に空港まで護送することができました,複数の死傷者が出ました
